First Name [Required],Last Name [Required],Email Address [Required],Password [Required],Password Hash Function [UPLOAD ONLY],Org Unit Path [Required],New Primary Email [UPLOAD ONLY],Recovery Email,Home Secondary Email,Work Secondary Email,Recovery Phone [MUST BE IN THE E.164 FORMAT],Work Phone,Home Phone,Mobile Phone,Work Address,Home Address,Employee ID,Employee Type,Employee Title,Manager Email,Department,Cost Center,Building ID,Floor Name,Floor Section,Change Password at Next Sign-In,New Status [UPLOAD ONLY],New Licenses [UPLOAD ONLY],Advanced Protection Program enrollment
Amina,El-Amin,amina.el-amin@quadrigasoftware.com,Welcome2026!,,/fictum,,,,,,,,,,,QS-1001,Full-time,CEO,,Exec,CC-100,HQ-SJC,10,HQ-SJC-10-01,,,,FALSE
Thomas,Müller,thomas.muller@quadrigasoftware.com,Welcome2026!,,/fictum,,,,,,,,,,,QS-1002,Full-time,COO,amina.el-amin@quadrigasoftware.com,Ops,CC-101,HQ-SJC,10,HQ-SJC-10-02,,,,FALSE
David,Zhang,david.zhang@quadrigasoftware.com,Welcome2026!,,/fictum,,,,,,,,,,,QS-1003,Full-time,CTO,amina.el-amin@quadrigasoftware.com,Eng,CC-102,HQ-SJC,10,HQ-SJC-10-03,,,,FALSE
Xing-Hua,Li,xing-hua.li@quadrigasoftware.com,Welcome2026!,,/fictum,,,,,,,,,,,QS-1004,Full-time,CPO,amina.el-amin@quadrigasoftware.com,Prod,CC-103,HQ-SJC,10,HQ-SJC-10-04,,,,FALSE
Sarah,O'Connor,sarah.o'connor@quadrigasoftware.com,Welcome2026!,,/fictum,,,,,,,,,,,QS-1005,Full-time,VP Eng,david.zhang@quadrigasoftware.com,Eng,CC-200,HQ-SJC,10,HQ-SJC-10-05,,,,FALSE
Maya,Patel,maya.patel@quadrigasoftware.com,Welcome2026!,,/fictum,,,,,,,,,,,QS-1006,Full-time,VP Prod,xing-hua.li@quadrigasoftware.com,Prod,CC-201,HQ-SJC,10,HQ-SJC-10-06,,,,FALSE
Chloe,Jensen,chloe.jensen@quadrigasoftware.com,Welcome2026!,,/fictum,,,,,,,,,,,QS-1007,Full-time,VP Design,xing-hua.li@quadrigasoftware.com,Design,CC-202,HQ-SJC,10,HQ-SJC-10-07,,,,FALSE
Nadir,Al-Farsi,nadir.al-farsi@quadrigasoftware.com,Welcome2026!,,/fictum,,,,,,,,,,,QS-1008,Full-time,VP QA,david.zhang@quadrigasoftware.com,Eng,CC-203,HQ-SJC,10,HQ-SJC-10-08,,,,FALSE
Luca,Moretti,luca.moretti@quadrigasoftware.com,Welcome2026!,,/fictum,,,,,,,,,,,QS-1009,Full-time,Dir Eng,sarah.o'connor@quadrigasoftware.com,Eng,CC-300,HQ-SJC,4,HQ-SJC-4-00,,,,FALSE
Jean-Pierre,Lefebvre,jean-pierre.lefebvre@quadrigasoftware.com,Welcome2026!,,/fictum,,,,,,,,,,,QS-1010,Full-time,Dir Prod,maya.patel@quadrigasoftware.com,Prod,CC-301,HQ-SJC,4,HQ-SJC-4-01,,,,FALSE
