First Name [Required],Last Name [Required],Email Address [Required],Password [Required],Password Hash Function [UPLOAD ONLY],Org Unit Path [Required],New Primary Email [UPLOAD ONLY],Recovery Email,Home Secondary Email,Work Secondary Email,Recovery Phone [MUST BE IN THE E.164 FORMAT],Work Phone,Home Phone,Mobile Phone,Work Address,Home Address,Employee ID,Employee Type,Employee Title,Manager Email,Department,Cost Center,Building ID,Floor Name,Floor Section,Change Password at Next Sign-In,New Status [UPLOAD ONLY],New Licenses [UPLOAD ONLY],Advanced Protection Program enrollment
Amina,El-Amin,amina.el-amin@quadrigasoftware.com,InitialPassword123,,/fictum,,,,,,,,,,,EMP001,Full-time,CEO,,Exec,CC100,HQ,10,HQ-10-01,,ACTIVE,,
Kenji,Sato,kenji.sato@quadrigasoftware.com,InitialPassword123,,/fictum,,,,,,,,,,,EMP002,Full-time,COO,amina.el-amin@quadrigasoftware.com,Exec,CC100,HQ,10,HQ-10-02,,ACTIVE,,
Amara,Okafor,amara.okafor@quadrigasoftware.com,InitialPassword123,,/fictum,,,,,,,,,,,EMP003,Full-time,CPO,amina.el-amin@quadrigasoftware.com,Exec,CC100,HQ,10,HQ-10-03,,ACTIVE,,
Luca,Moretti,luca.moretti@quadrigasoftware.com,InitialPassword123,,/fictum,,,,,,,,,,,EMP004,Full-time,CTO,amina.el-amin@quadrigasoftware.com,Exec,CC100,HQ,10,HQ-10-04,,ACTIVE,,
Sebastien,Dubois,sebastien.dubois@quadrigasoftware.com,InitialPassword123,,/fictum,,,,,,,,,,,EMP005,Full-time,VP Engineering,luca.moretti@quadrigasoftware.com,Eng,CC200,HQ,9,HQ-09-01,,ACTIVE,,
Sarah,O'Connor,sarah.o'connor@quadrigasoftware.com,InitialPassword123,,/fictum,,,,,,,,,,,EMP006,Full-time,Director of Engineering,sebastien.dubois@quadrigasoftware.com,Eng,CC200,HQ,9,HQ-09-02,,ACTIVE,,
Chloe,Jensen,chloe.jensen@quadrigasoftware.com,InitialPassword123,,/fictum,,,,,,,,,,,EMP007,Full-time,TPM,sarah.o'connor@quadrigasoftware.com,Eng,CC200,HQ,9,HQ-09-03,,ACTIVE,,
Jean-Pierre,Lefebvre,jean-pierre.lefebvre@quadrigasoftware.com,InitialPassword123,,/fictum,,,,,,,,,,,EMP008,Full-time,Director of QA,sarah.o'connor@quadrigasoftware.com,Eng,CC200,HQ,9,HQ-09-04,,ACTIVE,,
Maya,Patel,maya.patel@quadrigasoftware.com,InitialPassword123,,/fictum,,,,,,,,,,,EMP009,Full-time,Director of Product,amara.okafor@quadrigasoftware.com,Prod,CC300,HQ,9,HQ-09-05,,ACTIVE,,
Isabella,Rossi,isabella.rossi@quadrigasoftware.com,InitialPassword123,,/fictum,,,,,,,,,,,EMP010,Full-time,Director of Design,amara.okafor@quadrigasoftware.com,Design,CC400,HQ,9,HQ-09-06,,ACTIVE,,
